,secShortName,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue
0,重庆农村商业银行,2010-12-16,,,5.45,5.49,5.06,5.2,749516118,3965711907.0
1,重庆农村商业银行,2010-12-17,5.192,5.2,5.27,5.3,5.25,5.26,92249000,485039912.0
2,重庆农村商业银行,2010-12-20,5.275,5.26,5.25,5.25,5.11,5.15,37490000,193568790.0
3,重庆农村商业银行,2010-12-21,5.153,5.15,5.12,5.21,5.09,5.13,82140920,420740042.0
4,重庆农村商业银行,2010-12-22,5.118,5.13,5.2,5.36,5.18,5.22,90846000,479343105.0
5,重庆农村商业银行,2010-12-23,5.227,5.22,5.27,5.28,5.16,5.17,24294000,127362180.0
6,重庆农村商业银行,2010-12-24,5.171,5.17,5.13,5.2,5.07,5.16,15108000,77470930.0
7,重庆农村商业银行,2010-12-28,5.167,5.16,5.15,5.15,5.08,5.11,9134000,46588310.0
8,重庆农村商业银行,2010-12-29,5.106,5.11,5.11,5.18,5.1,5.14,12090000,61935816.0
9,重庆农村商业银行,2010-12-30,5.143,5.14,5.16,5.16,5.09,5.12,11527000,59118846.0
10,重庆农村商业银行,2010-12-31,5.105,5.12,5.14,5.24,5.12,5.23,11939000,61978010.0
11,重庆农村商业银行,2011-01-03,5.218,5.23,5.25,5.37,5.2,5.32,46288000,246310900.0
12,重庆农村商业银行,2011-01-04,5.296,5.32,5.32,5.54,5.32,5.51,76084940,414670062.0
13,重庆农村商业银行,2011-01-05,5.531,5.51,5.5,5.52,5.32,5.35,178871300,953893774.0
14,重庆农村商业银行,2011-01-06,5.322,5.35,5.4,5.58,5.38,5.57,39931000,218412650.0
15,重庆农村商业银行,2011-01-07,5.548,5.57,5.57,5.89,5.55,5.75,125903000,723520560.0
16,重庆农村商业银行,2011-01-10,5.756,5.75,5.75,5.79,5.64,5.7,17640000,100483835.0
17,重庆农村商业银行,2011-01-11,5.696,5.7,5.67,5.79,5.56,5.73,21518000,122645245.0
18,重庆农村商业银行,2011-01-12,5.716,5.73,5.78,5.89,5.73,5.85,43743000,255030865.0
19,重庆农村商业银行,2011-01-13,5.864,5.85,5.85,5.9,5.68,5.74,47383475,272994143.0
20,重庆农村商业银行,2011-01-14,5.744,5.74,5.71,5.74,5.7,5.71,23700000,135474857.0
21,重庆农村商业银行,2011-01-17,5.728,5.71,5.72,5.77,5.55,5.57,23642447,133582958.0
22,重庆农村商业银行,2011-01-18,5.543,5.57,5.6,5.85,5.6,5.79,26196553,151192191.0
23,重庆农村商业银行,2011-01-19,5.789,5.79,5.79,5.82,5.67,5.8,18394430,105639340.0
24,重庆农村商业银行,2011-01-20,5.815,5.8,5.78,5.78,5.62,5.68,20094591,114367368.0
25,重庆农村商业银行,2011-01-21,5.693,5.68,5.64,5.68,5.47,5.58,32236000,179386911.0
26,重庆农村商业银行,2011-01-24,5.593,5.58,5.61,5.62,5.43,5.48,16366000,89869755.0
27,重庆农村商业银行,2011-01-25,5.491,5.48,5.4,5.48,5.25,5.4,58358500,313979506.0
28,重庆农村商业银行,2011-01-26,5.399,5.4,5.45,5.52,5.36,5.41,30076000,162935302.0
29,重庆农村商业银行,2011-01-27,5.415,5.41,5.4,5.42,5.31,5.37,18370000,98865400.0
30,重庆农村商业银行,2011-01-28,5.388,5.37,5.32,5.37,5.18,5.24,60589560,316598289.0
31,重庆农村商业银行,2011-01-31,5.234,5.24,5.2,5.28,5.12,5.28,13748000,71322630.0
32,重庆农村商业银行,2011-02-01,5.287,5.28,5.27,5.29,5.16,5.23,12421000,64812905.0
33,重庆农村商业银行,2011-02-02,5.2,5.23,5.28,5.52,5.25,5.46,29859980,161832165.0
34,重庆农村商业银行,2011-02-07,5.47,5.46,5.46,5.48,5.37,5.38,11254509,60850080.0
35,重庆农村商业银行,2011-02-08,5.387,5.38,5.38,5.42,5.32,5.33,10953607,58689457.0
36,重庆农村商业银行,2011-02-09,5.338,5.33,5.3,5.34,5.26,5.27,16667916,87901505.0
37,重庆农村商业银行,2011-02-10,5.282,5.27,5.2,5.3,5.15,5.18,31201000,162460350.0
38,重庆农村商业银行,2011-02-11,5.193,5.18,5.2,5.2,5.01,5.09,46718000,238099831.0
39,重庆农村商业银行,2011-02-14,5.07,5.09,5.14,5.29,5.07,5.24,15884000,82561892.0
40,重庆农村商业银行,2011-02-15,5.242,5.24,5.25,5.25,5.14,5.23,11697560,61099139.0
41,重庆农村商业银行,2011-02-16,5.228,5.23,5.22,5.27,5.17,5.25,15498370,80898225.0
42,重庆农村商业银行,2011-02-17,5.233,5.25,5.25,5.39,5.2,5.38,7630000,40594780.0
43,重庆农村商业银行,2011-02-18,5.351,5.38,5.38,5.62,5.35,5.61,40567000,223184155.0
44,重庆农村商业银行,2011-02-21,5.586,5.61,5.51,5.82,5.5,5.81,79429292,454244806.0
45,重庆农村商业银行,2011-02-22,5.83,5.81,5.6,5.95,5.54,5.65,61732000,352077425.0
46,重庆农村商业银行,2011-02-23,5.659,5.65,5.6,5.68,5.56,5.58,33303726,187421279.0
47,重庆农村商业银行,2011-02-24,5.564,5.58,5.6,5.82,5.56,5.71,35692000,203886024.0
48,重庆农村商业银行,2011-02-25,5.689,5.71,5.8,5.99,5.76,5.89,61557000,364261025.0
49,重庆农村商业银行,2011-02-28,5.868,5.89,5.88,6.09,5.86,6.08,38361000,230331970.0
50,重庆农村商业银行,2011-03-01,6.063,6.08,6.05,6.28,6.04,6.23,55284000,344204242.0
51,重庆农村商业银行,2011-03-02,6.253,6.23,6.13,6.15,5.98,6.03,18216285,111005523.0
52,重庆农村商业银行,2011-03-03,6.023,6.03,6.03,6.2,6.03,6.09,10833880,66217163.0
53,重庆农村商业银行,2011-03-04,6.095,6.09,6.15,6.15,5.94,6.04,11377100,68490680.0
54,重庆农村商业银行,2011-03-07,6.054,6.04,6.0,6.07,5.9,5.92,10623909,63678691.0
55,重庆农村商业银行,2011-03-08,5.903,5.92,5.9,6.1,5.86,6.07,16075000,96380763.0
56,重庆农村商业银行,2011-03-09,6.046,6.07,6.1,6.46,6.08,6.29,38594500,243030360.0
57,重庆农村商业银行,2011-03-10,6.299,6.29,6.29,6.31,6.16,6.21,23650487,147290905.0
58,重庆农村商业银行,2011-03-11,6.225,6.21,6.11,6.2,6.01,6.08,30193000,183746488.0
59,重庆农村商业银行,2011-03-14,6.083,6.08,6.01,6.08,6.0,6.06,14922000,90251780.0
60,重庆农村商业银行,2011-03-15,6.077,6.06,6.01,6.03,5.76,5.92,18098200,106700860.0
61,重庆农村商业银行,2011-03-16,5.897,5.92,6.0,6.2,5.95,6.12,21738000,132181435.0
62,重庆农村商业银行,2011-03-17,6.144,6.12,5.98,6.05,5.89,5.92,26502594,158956056.0
63,重庆农村商业银行,2011-03-18,5.923,5.92,5.95,6.03,5.87,5.9,14403000,85515327.0
64,重庆农村商业银行,2011-03-21,5.899,5.9,5.92,5.96,5.88,5.91,52252000,309276225.0
65,重庆农村商业银行,2011-03-22,5.899,5.91,5.96,6.07,5.94,6.01,29311000,175431646.0
66,重庆农村商业银行,2011-03-23,6.022,6.01,6.01,6.07,5.89,5.91,12219000,73017371.0
67,重庆农村商业银行,2011-03-24,5.881,5.91,6.0,6.25,5.99,6.17,43949233,271011066.0
68,重庆农村商业银行,2011-03-25,6.16,6.17,6.25,6.29,6.16,6.26,24105000,149927924.0
69,重庆农村商业银行,2011-03-28,6.28,6.26,6.26,6.29,5.95,6.08,24146000,147309900.0
70,重庆农村商业银行,2011-03-29,6.181,6.08,5.7,5.7,5.3,5.32,283717759,1537506855.0
71,重庆农村商业银行,2011-03-30,5.332,5.32,5.27,5.32,5.2,5.23,147875964,777581280.0
72,重庆农村商业银行,2011-03-31,5.215,5.23,5.26,5.41,5.26,5.34,105132100,562204030.0
73,重庆农村商业银行,2011-04-01,5.329,5.34,5.37,5.45,5.35,5.42,36536362,197033788.0
74,重庆农村商业银行,2011-04-04,5.423,5.42,5.44,5.47,5.36,5.4,65538855,355613685.0
75,重庆农村商业银行,2011-04-06,5.416,5.4,5.36,5.39,5.25,5.28,51147900,270940774.0
76,重庆农村商业银行,2011-04-07,5.267,5.28,5.3,5.4,5.28,5.38,40183247,215525099.0
77,重庆农村商业银行,2011-04-08,5.383,5.38,5.39,5.4,5.32,5.36,21597000,115453540.0
78,重庆农村商业银行,2011-04-11,5.365,5.36,5.38,5.41,5.28,5.32,36106000,192249006.0
79,重庆农村商业银行,2011-04-12,5.323,5.32,5.29,5.32,5.25,5.3,26221800,138409067.0
80,重庆农村商业银行,2011-04-13,5.291,5.3,5.27,5.38,5.26,5.37,25895627,137906632.0
81,重庆农村商业银行,2011-04-14,5.38,5.37,5.33,5.34,5.29,5.3,16539000,87752570.0
82,重庆农村商业银行,2011-04-15,5.299,5.3,5.3,5.36,5.3,5.31,17790000,94665035.0
83,重庆农村商业银行,2011-04-18,5.323,5.31,5.3,5.3,5.2,5.21,39688000,207677426.0
84,重庆农村商业银行,2011-04-19,5.211,5.21,5.19,5.2,5.12,5.2,22647000,116662275.0
85,重庆农村商业银行,2011-04-20,5.179,5.2,5.21,5.36,5.2,5.36,33035426,174838109.0
86,重庆农村商业银行,2011-04-21,5.356,5.36,5.36,5.44,5.34,5.39,44609600,241005744.0
87,重庆农村商业银行,2011-04-26,5.387,5.39,5.36,5.41,5.32,5.41,14658520,78550560.0
88,重庆农村商业银行,2011-04-27,5.41,5.41,5.42,5.42,5.34,5.41,21833000,117609530.0
89,重庆农村商业银行,2011-04-28,5.413,5.41,5.42,5.42,5.34,5.39,12663129,68271254.0
90,重庆农村商业银行,2011-04-29,5.39,5.39,5.39,5.41,5.36,5.39,10193459,54878373.0
91,重庆农村商业银行,2011-05-03,5.39,5.39,5.39,5.41,5.36,5.39,13355456,71968172.0
92,重庆农村商业银行,2011-05-04,5.409,5.39,5.38,5.38,5.23,5.25,7820000,41171795.0
93,重庆农村商业银行,2011-05-05,5.237,5.25,5.27,5.36,5.2,5.35,18081000,95451322.0
94,重庆农村商业银行,2011-05-06,5.356,5.35,5.33,5.34,5.27,5.31,10718000,56939946.0
95,重庆农村商业银行,2011-05-09,5.305,5.31,5.31,5.36,5.29,5.35,15452000,82231855.0
96,重庆农村商业银行,2011-05-11,5.341,5.35,5.38,5.44,5.33,5.42,45855941,247434525.0
97,重庆农村商业银行,2011-05-12,5.428,5.42,5.38,5.4,5.33,5.36,13142000,70480592.0
98,重庆农村商业银行,2011-05-13,5.356,5.36,5.39,5.42,5.27,5.39,18343000,97927010.0
99,重庆农村商业银行,2011-05-16,5.406,5.39,5.38,5.38,5.24,5.27,16356000,86244318.0
100,重庆农村商业银行,2011-05-17,5.268,5.27,5.3,5.37,5.27,5.28,39613000,209808638.0
101,重庆农村商业银行,2011-05-18,5.269,5.28,5.3,5.36,5.29,5.36,24171429,129107611.0
102,重庆农村商业银行,2011-05-19,5.346,5.36,5.5,5.73,5.45,5.47,42208000,232057735.0
103,重庆农村商业银行,2011-05-20,5.466,5.47,5.5,5.52,5.44,5.5,30160000,165458549.0
104,重庆农村商业银行,2011-05-23,5.508,5.5,5.48,5.5,5.38,5.44,26291000,142996800.0
105,重庆农村商业银行,2011-05-24,5.439,5.44,5.44,5.47,5.36,5.45,15788300,85554786.0
106,重庆农村商业银行,2011-05-25,5.449,5.45,5.45,5.5,5.39,5.46,13352000,72815892.0
107,重庆农村商业银行,2011-05-26,5.456,5.46,5.5,5.5,5.46,5.49,13135200,71889237.0
108,重庆农村商业银行,2011-05-27,5.483,5.49,5.5,5.57,5.47,5.55,17104000,94055119.0
109,重庆农村商业银行,2011-05-30,5.537,5.55,5.59,5.7,5.55,5.66,46177957,261027019.0
