证券代码	时间	红股(10送)	配股(10配)	配股价	红利(10送)
HK02318	20050520	0.0	0.0	0.0	1.4
HK02318	20060421	0.0	0.0	0.0	2.0
HK02318	20060828	0.0	0.0	0.0	1.2
HK02318	20070504	0.0	0.0	0.0	2.2
HK02318	20070828	0.0	0.0	0.0	2.0
HK02318	20080410	0.0	0.0	0.0	5.0
HK02318	20080918	0.0	0.0	0.0	2.0
HK02318	20090828	0.0	0.0	0.0	1.5
HK02318	20100526	0.0	0.0	0.0	3.0
HK02318	20100907	0.0	0.0	0.0	1.5
HK02318	20110513	0.0	0.0	0.0	4.0
HK02318	20110831	0.0	0.0	0.0	1.5
HK02318	20120704	0.0	0.0	0.0	2.5
HK02318	20120921	0.0	0.0	0.0	1.5
HK02318	20130514	0.0	0.0	0.0	3.0
HK02318	20130911	0.0	0.0	0.0	2.0
HK02318	20140625	0.0	0.0	0.0	4.5
HK02318	20140910	0.0	0.0	0.0	2.5
HK02318	20150727	10.0	0.0	0.0	5.0
HK02318	20150907	0.0	0.0	0.0	1.8
HK02318	20160705	0.0	0.0	0.0	3.5
HK02318	20160905	0.0	0.0	0.0	2.0
HK00939	20060512	0.0	0.0	0.0	0.150
HK00939	20070510	0.0	0.0	0.0	0.920
HK00939	20070925	0.0	0.0	0.0	1.397
HK00939	20080617	0.0	0.0	0.0	0.650
HK00939	20081106	0.0	0.0	0.0	1.105
HK00939	20090617	0.0	0.0	0.0	0.837
HK00939	20100630	0.0	0.0	0.0	2.020
HK00939	20110616	0.0	0.0	0.0	2.122
HK00939	20101110	0.0	7.0	3.75449	0.000
HK00939	20120614	0.0	0.0	0.0	2.365
HK00939	20130613	0.0	0.0	0.0	2.680
HK00939	20140702	0.0	0.0	0.0	3.000
HK00939	20150623	0.0	0.0	0.0	3.010
HK00939	20160622	0.0	0.0	0.0	2.740
HK00998	20080508	0.0	0.0	0.0	0.535
HK00998	20090527	0.0	0.0	0.0	0.853
HK00998	20100519	0.0	0.0	0.0	0.880
HK00998	20110630	0.0	2.0	3.335	0.000
HK00998	20111024	0.0	0.0	0.0	0.550
HK00998	20120604	0.0	0.0	0.0	1.450
HK00998	20130530	0.0	0.0	0.0	1.500
HK00998	20140523	0.0	0.0	0.0	2.520
HK00998	20160530	0.0	0.0	0.0	2.120
HK03618	20120510	0.0	0.0	0.0	1.4
HK03618	20130515	0.0	0.0	0.0	1.7
HK03618	20140605	0.0	0.0	0.0	1.9
HK03618	20150623	0.0	0.0	0.0	2.0
HK03618	20160622	0.0	0.0	0.0	2.0
HK03968	20070514	0.0	0.0	0.0	1.2
HK03968	20080526	0.0	0.0	0.0	2.8
HK03968	20090518	3.0	0.0	0.0	1.0
HK03968	20100308	0.0	1.3	8.847	0.000
HK03968	20100510	0.0	0.0	0.0	2.1
HK03968	20110428	0.0	0.0	0.0	2.9
HK03968	20120601	0.0	0.0	0.0	4.2
HK03968	20130604	0.0	0.0	0.0	6.3
HK03968	20130829	0.0	1.74	9.29	0.000
HK03968	20140703	0.0	0.0	0.0	6.2
HK03968	20150624	0.0	0.0	0.0	6.7
HK03968	20160705	0.0	0.0	0.0	6.9
HK01339	20130625	0.0	0.0	0.0	0.038
HK01339	20140702	0.0	0.0	0.0	0.083
HK01339	20150702	0.0	0.0	0.0	0.095
HK01339	20160629	0.0	0.0	0.0	0.226
HK01288	20110609	0.0	0.0	0.0	0.540
HK01288	20120612	0.0	0.0	0.0	1.315
HK01288	20130620	0.0	0.0	0.0	1.565
HK01288	20140625	0.0	0.0	0.0	1.770
HK01288	20150702	0.0	0.0	0.0	1.820
HK01288	20160629	0.0	0.0	0.0	1.668
HK03988	20070703	0.0	0.0	0.0	0.40
HK03988	20080619	0.0	0.0	0.0	1.00
HK03988	20090618	0.0	0.0	0.0	1.30
HK03988	20100527	0.0	0.0	0.0	1.40
HK03988	20110602	0.0	0.0	0.0	1.46
HK03988	20101105	0.0	1.0	2.3546	0.000
HK03988	20120606	0.0	0.0	0.0	1.55
HK03988	20130607	0.0	0.0	0.0	1.75
HK03988	20140619	0.0	0.0	0.0	1.96
HK03988	20150625	0.0	0.0	0.0	1.90
HK03988	20160616	0.0	0.0	0.0	1.75
HK03328	20060530	0.0	0.0	0.0	0.8
HK03328	20070726	0.0	0.0	0.0	1.0
HK03328	20080612	0.0	0.0	0.0	1.5
HK03328	20080917	0.0	0.0	0.0	1.0
HK03328	20090519	0.0	0.0	0.0	1.0
HK03328	20090910	0.0	0.0	0.0	1.0
HK03328	20100428	0.0	0.0	0.0	1.0
HK03328	20100611	0.0	1.5	4.74224	0.000
HK03328	20100902	0.0	0.0	0.0	1.0
HK03328	20110708	1.0	0.0	0.0	0.2
HK03328	20120522	0.0	0.0	0.0	1.0
HK03328	20130628	0.0	0.0	0.0	2.4
HK03328	20140703	0.0	0.0	0.0	2.6
HK03328	20150520	0.0	0.0	0.0	2.7
HK03328	20160629	0.0	0.0	0.0	2.7
HK06818	20140708	0.0	0.0	0.0	1.72
HK06818	20150526	0.0	0.0	0.0	1.86
HK06818	20160705	0.0	0.0	0.0	1.90
HK01398	20070613	0.0	0.0	0.0	0.160
HK01398	20080610	0.0	0.0	0.0	1.330
HK01398	20090526	0.0	0.0	0.0	1.650
HK01398	20100519	0.0	0.0	0.0	1.700
HK01398	20101122	0.0	0.45	2.98796	0.000
HK01398	20110607	0.0	0.0	0.0	1.840
HK01398	20120606	0.0	0.0	0.0	2.030
HK01398	20130617	0.0	0.0	0.0	2.390
HK01398	20140612	0.0	0.0	0.0	2.617
HK01398	20150629	0.0	0.0	0.0	2.554
HK01398	20160629	0.0	0.0	0.0	2.333
HK01918	20120522	0.0	0.0	0.0	0.785
HK01918	20130521	0.0	0.0	0.0	0.786
HK01918	20140521	0.0	0.0	0.0	1.910
HK01918	20150521	0.0	0.0	0.0	1.900
HK01918	20160523	0.0	0.0	0.0	1.940
HK01988	20100623	0.0	0.0	0.0	0.50
HK01988	20110601	0.0	0.0	0.0	1.00
HK01988	20120619	0.0	0.0	0.0	3.00
HK01988	20120829	0.0	0.0	0.0	1.50
HK01988	20130619	0.0	0.0	0.0	1.50
HK01988	20130902	0.0	0.0	0.0	1.58
HK01988	20140612	0.0	0.0	0.0	1.00
HK01988	20141229	0.0	0.0	0.0	0.75
HK01988	20150623	0.0	0.0	0.0	1.10
HK01988	20160205	0.0	0.0	0.0	0.75
HK01988	20160610	0.0	0.0	0.0	1.60
HK01988	20160912	0.0	0.0	0.0	1.15
