D_LatestNetvalue,,,
Code,Tdate,Netvalue,SumNetvalue
150018,2017-11-27,1.041,1.421
150019,2017-11-27,1.129,1.129
161812,2017-11-27,1.085,1.276
159901,2017-11-27,4.9855,4.8476
150022,2017-11-27,1.0408,1.3965
150023,2017-11-27,0.1876,0.1876
163109,2017-11-27,0.6142,0.792
159903,2017-11-27,1.1876,0.8763
150012,2017-11-27,1.081,1.37
150013,2017-11-27,1.546,1.307
162509,2017-11-27,1.36,1.332
150028,2017-11-27,1.038,1.397
150029,2017-11-27,1.418,1.967
165511,2017-11-27,1.266,1.802
150030,2017-11-27,1.045,1.406
150031,2017-11-27,1.337,0.575
161816,2017-11-27,1.191,1.241
150008,2017-11-27,1.056,1.311
150009,2017-11-27,1.014,1.396
161207,2017-11-27,1.035,1.358
150051,2017-11-27,1.043,1.322
150052,2017-11-27,1.823,1.49
165515,2017-11-27,1.433,1.548
150053,2017-11-27,1.0452,1.3582
150054,2017-11-27,1.0212,2.7098
162216,2017-11-27,1.0308,2.1691
150055,2017-11-27,1.0452,1.3518
150056,2017-11-27,1.4265,1.4265
164809,2017-11-27,1.274,1.3966
150057,2017-11-27,1.048,1.338
150058,2017-11-27,1.122,2.116
162010,2017-11-27,1.093,1.805
150059,2017-11-27,1.045,1.362
150060,2017-11-27,1.305,0.317
161819,2017-11-27,1.201,0.757
150064,2017-11-27,1.045,1.362
150065,2017-11-27,1.057,1.926
160808,2017-11-27,1.052,1.688
160806,2017-11-27,1.448,1.325
160212,2017-11-27,2.831,2.831
150016,2017-11-27,1.0863,2.345
150017,2017-11-27,1.4665,4.2272
163406,2017-11-27,1.3144,3.4108
150036,2017-11-27,1.045,1.399
150037,2017-11-27,2.02,2.02
165310,2017-11-27,1.63,1.771
150047,2017-11-27,1.05,1.407
150048,2017-11-27,1.35,1.35
161818,2017-11-27,1.29,1.362
500058,2017-08-11,1.0051,3.6831
150020,2017-11-24,1.078,1.078
150021,2017-11-24,1.058,1.058
150032,2017-11-27,1.0336,1.3346
150033,2017-11-27,0.9396,1.2331
150039,2017-09-15,1.006,1.254
150040,2017-09-15,1.033,1.792
150066,2017-11-27,1.027,1.231
150067,2017-11-27,1.15,1.771
161015,2017-11-27,0.929,1.567
164206,2017-11-27,1.051,1.544
161908,2017-11-27,0.8954,1.4945
160513,2017-11-27,1.346,1.421
160514,2017-11-27,1.187,1.287
163003,2017-11-27,0.6236,1.0236
160618,2017-11-27,1.147,1.512
164208,2017-11-27,1.146,1.6695
162105,2017-11-27,1.0668,1.4325
161014,2017-11-27,1.072,1.516
160915,2017-11-27,1.115,1.651
160718,2017-11-27,1.0148,1.3143
162215,2017-11-27,1.048,1.594
166010,2017-11-27,1.0174,1.4186
166401,2017-11-27,1.037,1.072
160105,2017-11-27,1.0833,3.1859
160106,2017-11-27,1.3568,3.8388
160119,2017-11-27,1.5268,1.6268
160123,2017-11-27,1.1572,1.1872
160211,2017-11-27,2.903,4.069
160215,2017-11-27,1.571,2.099
160311,2017-11-27,1.542,5.1
160314,2017-11-27,1.116,6.497
160415,2017-11-27,1.041,1.301
160505,2017-11-27,1.949,5.482
160512,2017-11-27,2.094,2.258
160607,2017-11-27,0.8,4.091
160610,2017-11-27,1.083,1.903
160611,2017-11-27,0.822,0.951
160613,2017-11-27,1.492,2.389
160615,2017-11-27,1.637,1.697
160616,2017-11-27,1.328,1.328
160706,2017-11-27,1.1604,3.0284
160716,2017-11-27,1.587,1.587
160805,2017-11-27,0.8249,2.4051
160807,2017-11-27,1.326,1.376
160910,2017-11-27,1.139,2.379
161005,2017-11-27,2.0669,4.7549
161010,2017-11-27,1.019,1.626
161017,2017-11-27,2.196,2.196
161115,2017-11-27,1.331,1.915
161211,2017-11-27,1.6208,1.6208
161213,2017-11-27,1.566,1.566
161216,2017-11-27,1.046,1.545
161217,2017-11-27,0.748,0.748
161607,2017-11-27,1.284,2.798
161610,2017-11-27,0.969,2.868
161706,2017-11-27,1.615,3.5253
161713,2017-11-27,1.005,1.574
161810,2017-11-27,1.596,1.517
161811,2017-11-27,1.016,1.657
161813,2017-11-27,1.268,1.453
161903,2017-11-27,0.8351,2.609
161907,2017-11-27,1.7108,1.7108
162006,2017-11-27,1.1826,3.9124
162207,2017-11-27,1.3574,3.2648
162307,2017-11-27,1.315,1.315
162605,2017-11-27,1.253,3.941
162607,2017-11-27,0.572,3.053
162703,2017-11-27,1.4269,3.7649
162711,2017-11-27,1.3165,1.3165
162712,2017-11-27,1.419,1.683
163001,2017-11-27,0.883,1.423
163110,2017-11-27,2.1564,2.6964
163302,2017-11-27,1.394,4.067
163402,2017-11-27,0.895,9.3399
163407,2017-11-27,1.852,1.852
163409,2017-11-27,1.572,2.252
163503,2017-11-27,0.4934,2.3786
163801,2017-11-27,1.24,4.06
164105,2017-11-27,1.245,1.696
164808,2017-11-27,0.988,1.524
165309,2017-11-27,1.2384,1.2384
165311,2017-11-27,1.303,1.454
165508,2017-11-27,1.864,1.864
165509,2017-11-27,1.107,1.554
165512,2017-11-27,2.56,2.56
166001,2017-11-27,1.2451,1.9371
166006,2017-11-27,1.1715,1.4795
166007,2017-11-27,1.4229,1.4679
166008,2017-11-27,1.0372,1.4366
166009,2017-11-27,1.7955,2.7115
164902,2017-11-27,1.379,1.49
164606,2017-11-27,1.045,1.239
159902,2017-11-27,3.647,3.767
159905,2017-11-27,1.7048,1.7048
159906,2017-11-27,1.045,1.045
159907,2017-11-27,1.508,1.3701
