,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
0,XSHG,1990-12-19,1,,0,0,0,0
1,XSHG,1990-12-20,1,1990-12-19,0,0,0,0
2,XSHG,1990-12-21,1,1990-12-20,1,0,0,0
3,XSHG,1990-12-22,0,1990-12-21,0,0,0,0
4,XSHG,1990-12-23,0,1990-12-21,0,0,0,0
5,XSHG,1990-12-24,1,1990-12-21,0,0,0,0
6,XSHG,1990-12-25,1,1990-12-24,0,0,0,0
7,XSHG,1990-12-26,1,1990-12-25,0,0,0,0
8,XSHG,1990-12-27,1,1990-12-26,0,0,0,0
9,XSHG,1990-12-28,1,1990-12-27,1,0,0,0
10,XSHG,1990-12-29,0,1990-12-28,0,0,0,0
11,XSHG,1990-12-30,0,1990-12-28,0,0,0,0
12,XSHG,1990-12-31,1,1990-12-28,0,1,1,1
13,XSHG,1991-01-01,0,1990-12-31,0,0,0,0
14,XSHG,1991-01-02,1,1990-12-31,0,0,0,0
15,XSHG,1991-01-03,1,1991-01-02,0,0,0,0
16,XSHG,1991-01-04,1,1991-01-03,1,0,0,0
17,XSHG,1991-01-05,0,1991-01-04,0,0,0,0
18,XSHG,1991-01-06,0,1991-01-04,0,0,0,0
19,XSHG,1991-01-07,1,1991-01-04,0,0,0,0
20,XSHG,1991-01-08,1,1991-01-07,0,0,0,0
21,XSHG,1991-01-09,1,1991-01-08,0,0,0,0
22,XSHG,1991-01-10,1,1991-01-09,0,0,0,0
23,XSHG,1991-01-11,1,1991-01-10,1,0,0,0
24,XSHG,1991-01-12,0,1991-01-11,0,0,0,0
25,XSHG,1991-01-13,0,1991-01-11,0,0,0,0
26,XSHG,1991-01-14,1,1991-01-11,0,0,0,0
27,XSHG,1991-01-15,1,1991-01-14,0,0,0,0
28,XSHG,1991-01-16,1,1991-01-15,0,0,0,0
29,XSHG,1991-01-17,1,1991-01-16,0,0,0,0
30,XSHG,1991-01-18,1,1991-01-17,1,0,0,0
31,XSHG,1991-01-19,0,1991-01-18,0,0,0,0
32,XSHG,1991-01-20,0,1991-01-18,0,0,0,0
33,XSHG,1991-01-21,1,1991-01-18,0,0,0,0
34,XSHG,1991-01-22,1,1991-01-21,0,0,0,0
35,XSHG,1991-01-23,1,1991-01-22,0,0,0,0
36,XSHG,1991-01-24,1,1991-01-23,0,0,0,0
37,XSHG,1991-01-25,1,1991-01-24,1,0,0,0
38,XSHG,1991-01-26,0,1991-01-25,0,0,0,0
39,XSHG,1991-01-27,0,1991-01-25,0,0,0,0
40,XSHG,1991-01-28,1,1991-01-25,0,0,0,0
41,XSHG,1991-01-29,1,1991-01-28,0,0,0,0
42,XSHG,1991-01-30,1,1991-01-29,0,0,0,0
43,XSHG,1991-01-31,1,1991-01-30,0,1,0,0
44,XSHG,1991-02-01,1,1991-01-31,1,0,0,0
