B_Code,,,,,,
代码,名称,类型,公司,交易所,净值标识,生效
150018,银华稳进 ,指数分级A,银华基金,SZ,OF,1
150019,银华锐进,指数分级B,银华基金,SZ,OF,1
161812,银华100,指数分级,银华基金,,OF,1
399004,深证100R,指数,,SZ,,1
159901,深100ETF,ETF,易方达,SZ,OF,1
150022,申万收益,指数分级A,申万基金,SZ,OF,1
150023,申万进取,指数分级B,申万基金,SZ,OF,1
163109,申万深成,指数分级,申万基金,,OF,1
159903,深成ETF,ETF,南方基金,SZ,OF,1
399001,深证成指,指数,,SZ,,1
150012,双禧A,指数分级A,国联安基金,SZ,OF,1
150013,双禧B,指数分级B,国联安基金,SZ,OF,1
162509,双禧100,指数分级,国联安基金,,OF,1
399903,中证100,指数,,SZ,,1
150028,信诚500A,指数分级A,信诚基金,SZ,OF,1
150029,信诚500B,指数分级B,信诚基金,SZ,OF,1
399905,中证500,指数,,SZ,,1
165511,信诚500,指数分级,信诚基金,,OF,1
150030,银华金利,指数分级A,银华基金,SZ,OF,1
150031,银华鑫利,指数分级B,银华基金,SZ,OF,1
161816,银华90,指数分级,银华基金,,OF,1
000971,等权90,指数,,SH,,1
150008,瑞和小康,指数分级A,国投瑞银,SZ,OF,1
150009,瑞和远见,指数分级B,国投瑞银,SZ,OF,1
161207,瑞和300,指数分级,国投瑞银,,OF,1
399300,沪深300,指数,,SZ,,1
150051,信诚300A,指数分级A,信诚基金,SZ,OF,1
150052,信诚300B,指数分级B,信诚基金,SZ,OF,1
165515,信诚300,指数分级,信诚基金,,OF,1
150053,泰达稳健,指数分级A,泰达宏利,SZ,OF,1
150054,泰达进取,指数分级B,泰达宏利,SZ,OF,1
162216,泰达500,指数分级,泰达宏利,,OF,1
150055,工银500A,指数分级A,工银瑞信,SZ,OF,1
150056,工银500B,指数分级B,工银瑞信,SZ,OF,1
164809,工银500,指数分级,工银瑞信,,OF,1
150057,久兆稳健,指数分级A,长城基金,SZ,OF,1
150058,久兆积极,指数分级B,长城基金,SZ,OF,1
162010,长城久兆,指数分级,长城基金,,OF,1
399601,中小300,指数,,SZ,,1
150059,银华金瑞,指数分级A,银华基金,SZ,OF,1
150060,银华鑫瑞,指数分级B,银华基金,SZ,OF,1
161819,银华资源,指数分级,银华基金,,OF,1
399944,内地资源,指数,,SZ,,1
150064,同瑞A,指数分级A,长盛基金,SZ,OF,1
150065,同瑞B,指数分级B,长盛基金,SZ,OF,1
160808,长盛同瑞,指数分级,长盛基金,,OF,1
399904,中证200,指数,,SZ,,1
150006,同庆A,股票分级A,长盛基金,SZ,OF,0
150007,同庆B,股票分级B,长盛基金,SZ,OF,0
160806,同庆800,指数分级,长盛基金,,OF,1
150010,国泰优先,股票分级A,国泰基金,SZ,OF,0
150011,国泰进取,股票分级B,国泰基金,SZ,OF,0
160212,国泰估值,LOF,国泰基金,SZ,OF,1
150016,合润A,股票分级A,兴全基金,SZ,OF,1
150017,合润B,股票分级B,兴全基金,SZ,OF,1
163406,兴全和润,股票分级,兴全基金,,OF,1
150036,建信稳健,股票分级A,建信基金,SZ,OF,1
150037,建信进取,股票分级B,建信基金,SZ,OF,1
165310,建信双利,股票分级,建信基金,SZ,OF,1
150047,银华瑞吉,股票分级A,银华基金,SZ,OF,1
150048,银华瑞祥,股票分级B,银华基金,SZ,OF,1
161818,银华消费,股票分级,银华基金,,OF,1
399942,内地消费,指数,,SZ,,1
500001,基金金泰,封闭基金,国泰基金,SH,OF,0
500002,基金泰和,封闭基金,嘉实基金,SH,OF,0
500003,基金安信,封闭基金,华安基金,SH,OF,0
500005,基金汉盛,封闭基金,富国基金,SH,OF,0
500006,基金裕阳,封闭基金,博时基金,SH,OF,0
500008,基金兴华,封闭基金,华夏基金,SH,OF,0
500009,基金安顺,封闭基金,华安基金,SH,OF,0
500011,基金金鑫,封闭基金,国泰基金,,OF,0
500015,基金汉兴,封闭基金,富国基金,SH,OF,0
500018,基金兴和,封闭基金,华夏基金,SH,OF,0
500038,基金通乾,封闭基金,融通基金,SH,OF,1
500056,基金科瑞,封闭基金,易方达,SH,OF,0
500058,基金银丰,封闭基金,银河基金,SH,OF,1
184688,基金开元,封闭基金,南方基金,SZ,OF,0
184689,基金普惠,封闭基金,鹏华基金,SZ,OF,0
